age,gender,race,marital_status,occupation
50-54, Female,*, Married-civ-spouse, Adm-clerical
40-44, Female,*, Divorced, Adm-clerical
30-34, Male,*, Married-civ-spouse, Protective-serv
20-24, Male,*, Married-civ-spouse, Craft-repair
20-24, Male,*, Married-civ-spouse, Exec-managerial
55-59, Female,*, Widowed, Handlers-cleaners
20-24, Male,*, Never-married, ?
45-49, Male,*, Divorced, Craft-repair
30-34, Male,*, Never-married, Other-service
45-49, Male,*, Married-civ-spouse, Adm-clerical
25-29, Female,*, Never-married, Prof-specialty
60-64, Male,*, Married-civ-spouse, Sales
40-44, Male,*, Married-civ-spouse, Adm-clerical
25-29, Female,*, Never-married, Adm-clerical
75-79, Male,*, Married-civ-spouse, ?
50-54, Female,*, Divorced, Other-service
40-44, Male,*, Married-civ-spouse, Prof-specialty
20-24, Male,*, Never-married, Exec-managerial
45-49, Male,*, Married-civ-spouse, Exec-managerial
35-39, Female,*, Widowed, Other-service
20-24, Female,*, Never-married, Other-service
25-29, Male,*, Married-civ-spouse, Handlers-cleaners
45-49, Male,*, Married-civ-spouse, Sales
15-19, Female,*, Never-married, Other-service
25-29, Male,*, Never-married, Craft-repair
15-19, Male,*, Never-married, Transport-moving
25-29, Male,*, Married-civ-spouse, ?
30-34, Male,*, Never-married, Adm-clerical
40-44, Female,*, Divorced, Other-service
20-24, Female,*, Never-married, Adm-clerical
35-39, Male,*, Married-civ-spouse, Prof-specialty
30-34, Male,*, Never-married, Handlers-cleaners
30-34, Male,*, Married-civ-spouse, Exec-managerial
30-34, Male,*, Married-civ-spouse, Prof-specialty
60-64, Male,*, Married-civ-spouse, Prof-specialty
30-34, Female,*, Never-married, Exec-managerial
20-24, Female,*, Never-married, Adm-clerical
30-34, Male,*, Divorced, Craft-repair
40-44, Female,*, Widowed, Machine-op-inspct
25-29, Male,*, Never-married, Craft-repair
35-39, Female,*, Widowed, Other-service
25-29, Female,*, Never-married, Other-service
25-29, Female,*, Divorced, Sales
25-29, Female,*, Never-married, Handlers-cleaners
40-44, Male,*, Married-civ-spouse, Craft-repair
35-39, Male,*, Married-civ-spouse, Craft-repair
45-49, Male,*, Never-married, Farming-fishing
60-64, Male,*, Married-civ-spouse, Craft-repair
30-34, Female,*, Married-civ-spouse, Adm-clerical
35-39, Male,*, Married-civ-spouse, Craft-repair
35-39, Male,*, Married-civ-spouse, Machine-op-inspct
20-24, Female,*, Never-married, Other-service
30-34, Male,*, Never-married, Prof-specialty
45-49, Female,*, Married-civ-spouse, Machine-op-inspct
15-19, Male,*, Never-married, Sales
30-34, Male,*, Never-married, Tech-support
35-39, Male,*, Never-married, Craft-repair
20-24, Male,*, Never-married, ?
30-34, Male,*, Married-civ-spouse, Transport-moving
25-29, Male,*, Separated, Craft-repair
60-64, Male,*, Married-civ-spouse, Other-service
15-19, Female,*, Never-married, Other-service
55-59, Male,*, Married-civ-spouse, Craft-repair
45-49, Female,*, Divorced, Protective-serv
30-34, Female,*, Never-married, Prof-specialty
20-24, Female,*, Never-married, Machine-op-inspct
20-24, Female,*, Never-married, Other-service
45-49, Male,*, Married-civ-spouse, Craft-repair
35-39, Male,*, Married-civ-spouse, Machine-op-inspct
45-49, Female,*, Never-married, Prof-specialty
15-19, Female,*, Never-married, Sales
35-39, Male,*, Married-civ-spouse, Handlers-cleaners
25-29, Male,*, Never-married, Exec-managerial
25-29, Male,*, Never-married, Craft-repair
20-24, Male,*, Never-married, ?
25-29, Female,*, Never-married, Other-service
40-44, Male,*, Married-civ-spouse, Prof-specialty
35-39, Male,*, Separated, Machine-op-inspct
40-44, Male,*, Divorced, Craft-repair
70-74, Male,*, Married-civ-spouse, Prof-specialty
30-34, Female,*, Never-married, Exec-managerial
30-34, Male,*, Divorced, Adm-clerical
65-69, Male,*, Married-civ-spouse, Exec-managerial
40-44, Male,*, Separated, Transport-moving
60-64, Male,*, Married-civ-spouse, Exec-managerial
55-59, Male,*, Married-civ-spouse, Craft-repair
25-29, Female,*, Never-married, ?
45-49, Male,*, Married-civ-spouse, Machine-op-inspct
30-34, Male,*, Married-civ-spouse, Prof-specialty
15-19, Male,*, Never-married, Other-service
25-29, Male,*, Never-married, Craft-repair
20-24, Male,*, Never-married, Adm-clerical
40-44, Male,*, Married-civ-spouse, Protective-serv
65-69, Male,*, Married-civ-spouse, ?
30-34, Female,*, Divorced, Adm-clerical
70-74, Male,*, Married-civ-spouse, Farming-fishing
45-49, Male,*, Married-civ-spouse, Craft-repair
20-24, Male,*, Never-married, Adm-clerical
40-44, Male,*, Married-civ-spouse, Sales
35-39, Male,*, Married-civ-spouse, Exec-managerial
20-24, Male,*, Married-civ-spouse, Handlers-cleaners
50-54, Male,*, Divorced, Craft-repair
50-54, Male,*, Married-civ-spouse, Farming-fishing
20-24, Male,*, Never-married, Tech-support
50-54, Male,*, Divorced, Exec-managerial
45-49, Male,*, Married-civ-spouse, Prof-specialty
30-34, Male,*, Married-civ-spouse, Craft-repair
35-39, Male,*, Married-civ-spouse, Craft-repair
40-44, Male,*, Married-civ-spouse, Craft-repair
20-24, Female,*, Never-married, Prof-specialty
35-39, Male,*, Never-married, Adm-clerical
35-39, Female,*, Never-married, Tech-support
50-54, Female,*, Divorced, Exec-managerial
40-44, Male,*, Divorced, Transport-moving
30-34, Female,*, Married-civ-spouse, Exec-managerial
30-34, Female,*, Divorced, Adm-clerical
55-59, Male,*, Never-married, Craft-repair
35-39, Male,*, Married-civ-spouse, Machine-op-inspct
35-39, Male,*, Married-civ-spouse, Prof-specialty
30-34, Male,*, Never-married, Sales
45-49, Male,*, Married-civ-spouse, Protective-serv
40-44, Female,*, Never-married, Prof-specialty
25-29, Male,*, Married-civ-spouse, Exec-managerial
25-29, Male,*, Never-married, Farming-fishing
35-39, Male,*, Married-civ-spouse, Exec-managerial
60-64, Male,*, Married-civ-spouse, Farming-fishing
45-49, Female,*, Widowed, Exec-managerial
40-44, Female,*, Never-married, Exec-managerial
60-64, Male,*, Married-civ-spouse, Prof-specialty
35-39, Female,*, Never-married, Exec-managerial
35-39, Male,*, Never-married, Machine-op-inspct
30-34, Female,*, Married-civ-spouse, Adm-clerical
20-24, Male,*, Never-married, Adm-clerical
40-44, Male,*, Married-civ-spouse, Craft-repair
40-44, Female,*, Divorced, Adm-clerical
45-49, Female,*, Divorced, Exec-managerial
20-24, Male,*, Never-married, Machine-op-inspct
45-49, Male,*, Never-married, Sales
50-54, Male,*, Separated, Handlers-cleaners
35-39, Male,*, Married-civ-spouse, Prof-specialty
20-24, Male,*, Never-married, Prof-specialty
50-54, Male,*, Married-civ-spouse, Craft-repair
30-34, Female,*, Divorced, Other-service
30-34, Female,*, Never-married, Adm-clerical
20-24, Male,*, Never-married, Sales
35-39, Male,*, Married-civ-spouse, Protective-serv
50-54, Male,*, Married-civ-spouse, Transport-moving
30-34, Male,*, Married-civ-spouse, Prof-specialty
20-24, Female,*, Never-married, Exec-managerial
20-24, Female,*, Never-married, ?
25-29, Male,*, Never-married, Exec-managerial
25-29, Female,*, Never-married, Other-service
40-44, Male,*, Married-civ-spouse, Craft-repair
35-39, Male,*, Married-civ-spouse, Sales
25-29, Male,*, Never-married, Transport-moving
65-69, Male,*, Married-civ-spouse, Protective-serv
30-34, Male,*, Married-civ-spouse, Farming-fishing
45-49, Male,*, Married-civ-spouse, Prof-specialty
35-39, Male,*, Married-civ-spouse, Transport-moving
45-49, Male,*, Married-civ-spouse, Transport-moving
45-49, Male,*, Married-civ-spouse, Exec-managerial
30-34, Male,*, Married-civ-spouse, Prof-specialty
40-44, Male,*, Married-civ-spouse, Craft-repair
35-39, Male,*, Married-civ-spouse, Craft-repair
20-24, Male,*, Never-married, Sales
40-44, Male,*, Married-civ-spouse, Adm-clerical
30-34, Male,*, Divorced, Transport-moving
25-29, Male,*, Never-married, Tech-support
40-44, Male,*, Separated, Transport-moving
20-24, Female,*, Never-married, ?
20-24, Male,*, Never-married, Exec-managerial
30-34, Male,*, Married-civ-spouse, Farming-fishing
75-79, Male,*, Married-civ-spouse, Exec-managerial
45-49, Male,*, Married-civ-spouse, Craft-repair
40-44, Male,*, Married-civ-spouse, Prof-specialty
55-59, Male,*, Married-civ-spouse, Exec-managerial
20-24, Male,*, Never-married, Handlers-cleaners
20-24, Male,*, Never-married, Adm-clerical
45-49, Male,*, Married-civ-spouse, Craft-repair
30-34, Male,*, Married-civ-spouse, Other-service
40-44, Male,*, Married-civ-spouse, Handlers-cleaners
45-49, Female,*, Divorced, Prof-specialty
25-29, Male,*, Divorced, Machine-op-inspct
20-24, Male,*, Married-civ-spouse, Adm-clerical
55-59, Male,*, Married-civ-spouse, Craft-repair
35-39, Female,*, Never-married, Tech-support
40-44, Male,*, Married-civ-spouse, Exec-managerial
60-64, Male,*, Divorced, Exec-managerial
35-39, Male,*, Never-married, Exec-managerial
50-54, Male,*, Married-civ-spouse, Prof-specialty
50-54, Male,*, Married-civ-spouse, Prof-specialty
35-39, Male,*, Married-civ-spouse, Machine-op-inspct
45-49, Male,*, Married-civ-spouse, Exec-managerial
30-34, Male,*, Married-civ-spouse, Machine-op-inspct
15-19, Female,*, Never-married, Prof-specialty
55-59, Male,*, Divorced, Prof-specialty
40-44, Male,*, Married-civ-spouse, Exec-managerial
25-29, Male,*, Married-civ-spouse, Prof-specialty
45-49, Male,*, Married-civ-spouse, Prof-specialty
35-39, Male,*, Divorced, Transport-moving
25-29, Male,*, Never-married, Other-service
15-19, Female,*, Never-married, Sales
60-64, Female,*, Widowed, Sales
40-44, Female,*, Divorced, Adm-clerical
40-44, Female,*, Never-married, Other-service
40-44, Male,*, Divorced, Sales
55-59, Male,*, Married-civ-spouse, Prof-specialty
30-34, Female,*, Never-married, Adm-clerical
20-24, Male,*, Never-married, Handlers-cleaners
35-39, Male,*, Married-civ-spouse, Exec-managerial
50-54, Male,*, Married-civ-spouse, Craft-repair
25-29, Male,*, Married-civ-spouse, Sales
20-24, Female,*, Never-married, Sales
20-24, Female,*, Never-married, Adm-clerical
20-24, Male,*, Never-married, Sales
20-24, Female,*, Never-married, ?
35-39, Female,*, Divorced, Adm-clerical
30-34, Male,*, Married-civ-spouse, Craft-repair
40-44, Male,*, Married-civ-spouse, Craft-repair
45-49, Male,*, Married-civ-spouse, Craft-repair
40-44, Male,*, Married-civ-spouse, Exec-managerial
35-39, Female,*, Divorced, ?
30-34, Female,*, Divorced, Exec-managerial
30-34, Male,*, Never-married, Handlers-cleaners
25-29, Male,*, Married-civ-spouse, Craft-repair
15-19, Female,*, Never-married, Other-service
45-49, Female,*, Never-married, Adm-clerical
40-44, Male,*, Married-civ-spouse, Prof-specialty
15-19, Female,*, Never-married, Machine-op-inspct
45-49, Female,*, Divorced, Other-service
40-44, Male,*, Married-civ-spouse, Prof-specialty
30-34, Female,*, Married-civ-spouse, Other-service
30-34, Male,*, Never-married, Adm-clerical
15-19, Female,*, Never-married, ?
50-54, Female,*, Divorced, Sales
30-34, Male,*, Divorced, Handlers-cleaners
20-24, Female,*, Never-married, Handlers-cleaners
50-54, Male,*, Married-spouse-absent, Prof-specialty
35-39, Female,*, Divorced, ?
25-29, Female,*, Never-married, Adm-clerical
35-39, Female,*, Married-civ-spouse, ?
60-64, Male,*, Separated, Transport-moving
40-44, Male,*, Married-civ-spouse, Prof-specialty
25-29, Male,*, Never-married, Transport-moving
25-29, Female,*, Never-married, Prof-specialty
35-39, Male,*, Married-civ-spouse, ?
20-24, Male,*, Never-married, Other-service
40-44, Male,*, Married-civ-spouse, Exec-managerial
35-39, Male,*, Married-civ-spouse, Craft-repair
25-29, Male,*, Married-civ-spouse, Sales
15-19, Female,*, Never-married, ?
40-44, Male,*, Married-civ-spouse, Craft-repair
80-84, Male,*, Married-civ-spouse, ?
55-59, Male,*, Married-civ-spouse, Exec-managerial
50-54, Female,*, Widowed, Other-service
30-34, Male,*, Married-civ-spouse, Prof-specialty
35-39, Female,*, Divorced, Adm-clerical
35-39, Female,*, Never-married, Machine-op-inspct
25-29, Male,*, Never-married, Transport-moving
20-24, Male,*, Never-married, Adm-clerical
25-29, Male,*, Separated, Craft-repair
30-34, Male,*, Never-married, Other-service
35-39, Female,*, Never-married, Craft-repair
40-44, Male,*, Divorced, Transport-moving
35-39, Female,*, Divorced, Exec-managerial
15-19, Male,*, Never-married, Other-service
50-54, Female,*, Widowed, Other-service
45-49, Female,*, Never-married, Adm-clerical
40-44, Male,*, Married-civ-spouse, Exec-managerial
20-24, Female,*, Never-married, Prof-specialty
35-39, Male,*, Never-married, Exec-managerial
30-34, Male,*, Married-civ-spouse, Craft-repair
45-49, Male,*, Married-civ-spouse, Transport-moving
30-34, Male,*, Never-married, Exec-managerial
45-49, Male,*, Married-civ-spouse, Craft-repair
40-44, Male,*, Married-civ-spouse, Prof-specialty
20-24, Male,*, Never-married, Machine-op-inspct
15-19, Male,*, Never-married, Sales
60-64, Male,*, Married-civ-spouse, Exec-managerial
30-34, Male,*, Married-civ-spouse, Protective-serv
50-54, Male,*, Married-civ-spouse, Prof-specialty
25-29, Male,*, Never-married, Protective-serv
30-34, Female,*, Never-married, Sales
50-54, Male,*, Married-civ-spouse, Craft-repair
15-19, Male,*, Never-married, ?
60-64, Female,*, Never-married, Exec-managerial
45-49, Male,*, Married-civ-spouse, Exec-managerial
35-39, Male,*, Married-civ-spouse, Sales
50-54, Male,*, Married-civ-spouse, ?
25-29, Female,*, Never-married, Exec-managerial
65-69, Male,*, Married-civ-spouse, Prof-specialty
55-59, Male,*, Married-civ-spouse, Transport-moving
25-29, Female,*, Married-civ-spouse, ?
35-39, Male,*, Married-civ-spouse, Prof-specialty
40-44, Female,*, Separated, Other-service
40-44, Male,*, Married-civ-spouse, Tech-support
45-49, Male,*, Married-civ-spouse, Machine-op-inspct
20-24, Male,*, Never-married, Adm-clerical
25-29, Male,*, Never-married, Prof-specialty
30-34, Male,*, Married-civ-spouse, Craft-repair
30-34, Female,*, Married-civ-spouse, ?
45-49, Female,*, Married-civ-spouse, Prof-specialty
45-49, Female,*, Married-civ-spouse, Machine-op-inspct
30-34, Female,*, Separated, Other-service
45-49, Male,*, Married-civ-spouse, Adm-clerical
25-29, Female,*, Never-married, Other-service
45-49, Female,*, Divorced, Prof-specialty
65-69, Female,*, Widowed, ?
55-59, Female,*, Married-civ-spouse, Tech-support
35-39, Male,*, Married-civ-spouse, Machine-op-inspct
25-29, Female,*, Divorced, Adm-clerical
30-34, Female,*, Never-married, Exec-managerial
45-49, Female,*, Separated, Adm-clerical
45-49, Male,*, Married-civ-spouse, Craft-repair
25-29, Female,*, Never-married, Adm-clerical
35-39, Female,*, Divorced, Adm-clerical
25-29, Female,*, Married-civ-spouse, Exec-managerial
20-24, Male,*, Never-married, ?
15-19, Male,*, Never-married, Other-service
40-44, Male,*, Married-civ-spouse, Exec-managerial
25-29, Male,*, Married-civ-spouse, Sales
35-39, Female,*, Never-married, Transport-moving
45-49, Male,*, Married-civ-spouse, Exec-managerial
40-44, Male,*, Married-civ-spouse, Craft-repair
25-29, Female,*, Never-married, Prof-specialty
40-44, Male,*, Married-civ-spouse, Craft-repair
45-49, Female,*, Never-married, Prof-specialty
25-29, Female,*, Divorced, ?
45-49, Male,*, Divorced, Tech-support
15-19, Female,*, Never-married, Sales
40-44, Male,*, Divorced, Prof-specialty
30-34, Male,*, Married-civ-spouse, Craft-repair
35-39, Male,*, Married-civ-spouse, Tech-support
50-54, Female,*, Never-married, Prof-specialty
20-24, Male,*, Married-civ-spouse, Handlers-cleaners
35-39, Female,*, Divorced, Other-service
30-34, Male,*, Never-married, Craft-repair
35-39, Female,*, Widowed, Prof-specialty
40-44, Male,*, Married-civ-spouse, Prof-specialty
25-29, Male,*, Married-civ-spouse, Adm-clerical
30-34, Male,*, Never-married, Transport-moving
40-44, Female,*, Never-married, Adm-clerical
35-39, Female,*, Never-married, Adm-clerical
35-39, Female,*, Never-married, Machine-op-inspct
20-24, Male,*, Never-married, Machine-op-inspct
70-74, Male,*, Widowed, Exec-managerial
30-34, Male,*, Separated, Other-service
25-29, Female,*, Never-married, Adm-clerical
35-39, Female,*, Never-married, Adm-clerical
20-24, Male,*, Never-married, Other-service
65-69, Male,*, Married-civ-spouse, Sales
35-39, Male,*, Married-civ-spouse, Sales
35-39, Male,*, Married-civ-spouse, Sales
40-44, Male,*, Never-married, Sales
50-54, Male,*, Married-civ-spouse, Tech-support
45-49, Male,*, Divorced, Transport-moving
45-49, Male,*, Married-civ-spouse, Adm-clerical
50-54, Male,*, Married-civ-spouse, Exec-managerial
40-44, Male,*, Married-civ-spouse, Adm-clerical
50-54, Male,*, Married-civ-spouse, Exec-managerial
35-39, Male,*, Never-married, Machine-op-inspct
35-39, Female,*, Never-married, Other-service
30-34, Female,*, Never-married, Prof-specialty
45-49, Male,*, Married-civ-spouse, Other-service
50-54, Female,*, Divorced, Adm-clerical
35-39, Male,*, Divorced, Handlers-cleaners
45-49, Female,*, Divorced, Exec-managerial
30-34, Male,*, Married-civ-spouse, ?
40-44, Male,*, Married-civ-spouse, Craft-repair
25-29, Female,*, Never-married, Other-service
20-24, Male,*, Married-civ-spouse, Craft-repair
30-34, Male,*, Never-married, Craft-repair
25-29, Female,*, Never-married, Craft-repair
20-24, Female,*, Never-married, Tech-support
45-49, Male,*, Separated, Sales
20-24, Female,*, Never-married, Other-service
60-64, Male,*, Married-civ-spouse, Craft-repair
40-44, Male,*, Married-civ-spouse, Sales
30-34, Male,*, Divorced, Prof-specialty
20-24, Female,*, Never-married, Adm-clerical
35-39, Male,*, Never-married, Other-service
25-29, Male,*, Never-married, Prof-specialty
50-54, Male,*, Married-civ-spouse, Other-service
50-54, Male,*, Divorced, Sales
55-59, Male,*, Married-civ-spouse, Exec-managerial
15-19, Male,*, Never-married, Other-service
40-44, Male,*, Married-civ-spouse, Exec-managerial
25-29, Male,*, Never-married, Sales
20-24, Female,*, Separated, Sales
20-24, Male,*, Married-civ-spouse, Craft-repair
80-84, Male,*, Married-civ-spouse, Exec-managerial
50-54, Male,*, Divorced, Transport-moving
40-44, Male,*, Married-civ-spouse, Adm-clerical
45-49, Female,*, Separated, Machine-op-inspct
60-64, Male,*, Married-civ-spouse, Handlers-cleaners
